"Sexo","trabalha","pos_estudos","saude","engravidou","Solitude","Fumou","Pais_Fumante","amigod_drogados","idade","Ja_bebeu"
1,2,3,1,-1,1,2,2,2,14,1
2,2,3,1,-1,1,2,1,1,14,2
2,2,3,3,-1,3,2,1,3,15,2
2,2,4,1,-1,3,2,1,2,14,1
1,2,3,1,-1,1,2,1,2,14,1
2,2,3,2,-1,1,2,1,2,14,2
1,2,4,1,-1,1,2,3,3,16,1
1,2,3,2,-1,1,2,2,1,17,1
1,2,3,2,-1,3,2,1,6,14,1
1,1,3,2,-1,2,2,1,6,14,2
2,2,3,2,-1,2,2,2,3,14,1
2,2,1,1,-1,1,2,5,4,14,1
2,2,3,2,-1,2,2,4,1,14,1
2,2,3,2,-1,1,2,1,1,14,2
2,1,3,2,-1,1,2,1,4,16,1
2,2,5,1,-1,4,1,2,4,15,1
1,2,1,1,-1,2,2,2,6,14,2
1,2,5,2,-1,4,2,3,2,14,2
2,2,1,2,-1,1,2,1,1,14,2
1,1,2,1,-1,3,2,1,2,16,1
2,2,2,2,2,5,2,3,2,14,1
2,2,3,1,-1,2,2,1,6,15,2
2,2,3,1,-1,2,2,1,1,14,2
2,2,5,4,-1,4,2,1,2,14,1
2,2,2,2,2,3,1,1,3,14,1
1,1,3,1,-1,1,2,2,6,14,1
2,2,1,3,-1,1,2,1,1,14,2
1,2,1,1,-1,1,2,1,6,14,2
1,2,5,1,-1,1,2,1,6,14,2
1,2,3,2,-1,1,2,1,2,14,2
2,2,2,2,-1,3,1,1,3,14,1
2,2,3,2,-1,3,2,1,1,15,2
1,2,3,1,-1,2,2,1,2,16,1
2,2,3,3,-1,3,2,1,3,15,2
1,1,3,1,-1,2,1,4,2,14,1
2,2,1,3,2,4,1,3,1,14,1
1,2,3,2,-1,2,2,2,2,14,2
2,2,4,3,-1,5,1,1,3,14,1
2,2,3,2,2,3,1,1,1,17,1
1,1,3,1,-1,1,2,1,6,14,1
2,2,3,1,2,1,1,1,6,17,1
1,2,1,1,-1,1,2,1,1,15,1
1,2,3,2,-1,2,2,2,6,16,1
1,2,1,1,-1,1,2,1,1,14,2
2,2,3,1,-1,2,2,1,2,14,1
1,1,2,2,-1,2,1,2,4,16,1
1,2,3,1,-1,1,2,2,2,14,1
1,2,2,1,-1,3,2,1,3,17,1
1,1,3,2,-1,2,2,1,3,16,1
2,2,3,2,-1,2,2,1,6,13,2
2,2,1,1,2,3,2,2,1,14,1
1,2,2,4,-1,1,2,4,2,16,1
1,1,3,2,-1,2,1,1,2,15,1
1,2,2,1,-1,1,2,1,1,14,2
2,1,3,2,-1,3,2,1,3,14,1
1,1,3,5,-1,5,1,3,1,16,1
2,2,1,1,-1,3,2,1,3,14,2
1,2,3,1,-1,3,2,1,1,13,2
2,2,3,1,-1,2,2,1,3,15,1
1,2,3,2,-1,1,2,1,1,18,1
2,2,3,1,-1,2,2,4,2,14,2
1,2,5,1,-1,1,2,1,2,14,2
1,2,3,2,-1,2,2,1,1,14,2
1,2,3,2,-1,3,2,3,6,14,2
1,2,3,1,-1,2,2,1,2,14,1
1,2,1,1,-1,3,2,1,1,15,2
2,2,1,1,-1,3,2,1,6,14,2
1,2,2,2,-1,2,2,2,6,14,2
1,2,3,1,-1,2,1,1,3,15,1
1,2,3,2,-1,1,2,1,6,15,2
1,2,1,1,-1,2,2,1,6,14,2
1,2,3,4,-1,2,2,2,2,15,1
2,2,3,2,-1,4,1,1,2,14,1
1,2,3,2,-1,3,2,1,2,13,1
1,2,3,1,-1,2,2,1,1,13,2
1,2,3,2,-1,2,2,1,1,14,2
2,2,3,2,-1,1,2,1,1,13,2
2,2,3,1,-1,2,2,1,1,14,2
1,1,3,1,-1,1,2,1,2,15,1
1,2,3,1,-1,1,2,1,6,14,2
1,2,3,1,-1,1,2,1,3,14,1
2,2,3,3,-1,3,2,1,1,15,2
1,2,3,2,-1,1,2,1,6,14,1
1,1,3,1,-1,1,2,1,2,14,1
1,2,1,1,-1,2,2,1,2,13,2
2,1,3,5,-1,4,2,3,6,18,1
2,2,1,2,-1,2,2,1,3,14,1
2,2,3,3,2,3,2,1,1,13,1
1,2,3,2,-1,1,2,1,1,14,1
2,2,4,5,2,4,2,2,4,14,1
2,2,3,1,-1,1,2,1,1,13,2
1,2,3,1,-1,1,2,1,1,14,2
1,2,1,1,-1,2,2,1,6,14,2
2,2,3,1,-1,1,2,1,6,13,2
1,2,3,3,-1,5,2,1,6,15,1
2,2,3,1,-1,1,2,3,1,13,2
2,2,3,3,-1,3,2,3,6,13,2
2,2,2,5,2,5,2,1,4,13,1
1,2,1,1,-1,3,2,1,1,13,2
1,2,3,2,-1,1,2,1,1,15,2
2,2,3,2,-1,5,2,1,6,14,1
1,2,3,2,-1,1,2,1,2,14,2
1,2,3,4,-1,2,2,1,2,14,2
1,2,4,1,-1,2,2,1,2,13,1
2,2,4,2,-1,2,2,4,4,14,2
1,2,1,1,-1,1,2,1,2,16,1
1,2,5,1,-1,2,2,1,2,14,1
2,2,1,1,-1,3,2,1,1,13,2
2,1,3,4,-1,2,2,1,2,14,1
2,2,2,1,-1,1,2,1,1,14,2
2,2,3,2,2,1,1,3,3,15,1
1,2,3,1,-1,3,2,1,2,15,2
1,1,3,3,-1,1,2,1,2,15,1
2,2,3,3,-1,3,2,1,3,15,1
1,2,3,5,-1,1,2,1,3,14,1
2,2,3,1,-1,1,1,1,4,14,1
1,2,3,1,-1,1,2,1,2,14,2
2,2,1,3,-1,1,2,1,1,14,2
2,2,3,1,2,2,2,1,4,14,1
1,2,1,2,-1,1,2,1,2,14,2
1,1,3,99,-1,4,1,4,5,17,1
1,2,5,1,-1,2,2,1,1,15,2
2,2,3,5,2,3,1,5,2,15,2
1,2,2,2,-1,1,2,3,6,14,2
2,2,2,2,-1,5,2,1,4,14,1
1,1,1,1,-1,1,2,1,5,17,1
1,1,3,3,-1,3,1,1,3,16,1
2,2,5,2,-1,2,2,1,1,14,2
1,2,2,3,-1,3,2,1,1,14,1
2,2,1,3,-1,5,2,1,4,14,1
1,2,5,1,-1,1,2,1,2,15,2
2,2,5,5,2,1,1,1,4,15,1
1,2,3,1,-1,3,2,3,3,15,1
2,2,3,3,-1,3,2,1,1,15,2
1,1,3,5,-1,1,1,1,2,14,1
2,2,3,2,-1,2,2,1,1,15,1
2,2,3,3,-1,3,2,1,3,14,1
1,2,3,2,-1,1,2,2,2,14,2
1,1,1,4,-1,1,2,1,6,14,2
2,2,3,2,-1,3,2,2,2,14,1
2,1,2,1,2,4,1,1,5,15,1
2,2,3,1,-1,1,2,1,1,14,2
2,2,3,3,2,4,1,1,4,15,1
1,1,3,1,-1,1,2,1,2,14,1
2,2,1,2,2,4,2,1,1,16,1
2,2,3,4,-1,2,2,2,6,15,1
1,2,3,2,-1,1,2,2,2,15,1
2,2,2,2,-1,3,1,1,1,13,1
1,1,3,4,-1,2,2,1,1,14,1
2,2,3,1,2,2,2,2,2,14,1
2,2,5,3,-1,2,2,1,2,15,1
1,2,3,1,-1,2,2,1,3,15,1
1,2,3,2,-1,1,2,1,1,15,2
1,2,3,2,-1,3,1,2,2,14,1
2,2,3,2,-1,2,2,1,1,15,2
2,2,3,1,1,1,1,1,4,16,1
1,1,3,1,-1,1,2,3,1,16,1
1,2,3,1,-1,1,2,3,1,15,2
2,2,3,3,-1,3,2,1,1,16,2
2,2,3,3,-1,3,2,2,3,15,1
2,2,3,3,2,4,1,1,6,15,1
2,2,1,2,-1,3,2,4,1,14,1
2,2,3,1,-1,3,2,1,1,14,2
2,2,5,2,2,3,2,1,6,15,1
2,2,3,1,-1,1,2,1,1,15,2
2,2,3,1,2,3,1,1,4,16,1
2,2,1,5,2,4,1,1,4,14,1
1,2,4,1,-1,1,1,1,3,16,1
1,2,3,1,-1,1,2,1,2,15,1
2,2,3,2,2,1,1,1,4,14,1
1,2,3,2,-1,2,2,1,6,15,2
1,2,3,2,-1,1,2,2,2,14,1
2,2,5,3,2,5,1,1,4,15,1
1,2,3,1,-1,1,2,4,2,17,1
2,2,3,2,-1,1,2,2,6,14,2
1,2,1,2,-1,2,1,4,1,14,2
2,2,3,2,-1,3,2,2,2,14,1
2,2,3,1,-1,5,2,2,3,14,1
1,2,3,2,-1,1,2,1,1,14,2
2,2,2,1,-1,2,2,1,3,14,2
2,2,3,3,-1,3,2,1,1,15,2
1,2,3,2,-1,3,2,1,6,14,2
2,2,3,2,-1,3,2,1,1,14,2
2,2,3,2,-1,2,2,1,2,14,2
2,2,3,2,-1,3,2,1,1,13,2
1,1,3,5,-1,5,2,1,1,13,2
2,2,4,2,-1,2,2,1,2,14,1
2,2,3,1,-1,1,2,1,1,14,2
2,2,3,2,-1,3,2,1,2,15,2
1,1,3,5,-1,2,1,1,2,14,1
2,2,1,1,-1,4,2,1,1,12,2
1,2,4,2,-1,5,2,1,3,13,1
2,2,1,5,-1,1,2,1,2,13,2
1,2,1,1,-1,1,2,1,1,14,2
2,2,3,2,-1,4,2,1,6,13,2
2,2,3,3,2,4,2,1,1,17,1
2,2,3,4,-1,3,2,2,1,15,1
2,2,3,3,-1,2,2,1,3,14,2
1,2,3,1,-1,1,2,1,1,14,2
2,2,3,2,-1,2,2,3,2,14,1
1,2,3,2,-1,2,2,1,2,15,1
2,2,1,3,-1,3,2,1,1,14,1
1,2,3,1,-1,2,2,1,1,13,1
1,2,3,5,-1,4,2,1,2,14,1
2,2,3,1,-1,4,2,1,1,14,2
1,2,3,2,-1,3,2,1,2,14,2
2,2,3,2,-1,2,1,3,1,14,1
2,2,1,1,-1,2,2,1,2,14,1
2,2,3,1,-1,4,2,1,3,14,1
2,2,1,2,-1,3,2,1,1,14,2
1,2,5,1,-1,1,2,2,6,13,2
1,2,5,5,-1,2,2,1,2,15,1
2,2,3,2,-1,3,2,1,2,15,1
2,2,3,2,-1,1,2,1,1,14,2
2,2,3,3,-1,3,2,3,3,14,1
2,2,1,1,-1,2,1,1,4,16,1
1,2,1,1,-1,1,2,1,1,13,2
2,2,2,2,-1,2,2,1,2,15,2
2,2,3,4,-1,3,2,1,6,14,2
2,2,1,1,-1,3,2,1,2,13,2
2,2,3,3,-1,4,2,1,1,14,2
2,2,1,1,-1,2,2,1,2,14,1
2,2,3,2,2,1,1,1,4,15,1
2,2,1,3,-1,2,2,1,1,13,2
1,2,3,2,-1,3,2,1,1,13,2
2,2,3,1,-1,2,2,1,2,14,2
2,2,3,2,-1,3,2,3,1,13,2
2,2,3,5,-1,1,2,1,2,14,1
2,2,1,2,-1,1,2,1,1,14,2
2,2,3,2,-1,4,2,1,2,15,1
1,2,3,5,-1,3,2,1,3,14,1
2,2,1,1,-1,3,2,1,1,14,2
2,2,3,3,-1,2,2,3,2,14,1
1,1,3,2,-1,1,2,1,1,15,2
2,2,3,1,-1,3,2,1,2,15,1
1,2,3,1,-1,2,2,5,2,15,1
2,2,3,3,-1,3,2,1,2,14,1
1,2,3,2,-1,1,2,1,2,13,1
1,2,3,1,-1,1,2,1,2,15,1
1,2,3,2,-1,1,2,2,2,17,1
2,2,3,1,-1,2,2,1,2,14,2
2,2,3,2,-1,2,2,2,1,14,2
1,2,3,1,-1,2,2,1,1,14,2
2,2,5,2,-1,3,2,2,6,14,2
2,2,4,1,-1,2,2,2,2,17,2
1,2,3,1,-1,2,2,2,2,14,2
1,2,1,4,-1,1,2,2,1,14,2
2,2,3,2,-1,5,2,1,1,14,2
1,2,1,3,-1,3,2,1,2,14,1
2,2,1,1,-1,1,2,2,2,13,2
1,2,1,3,-1,3,2,1,1,14,2
2,2,3,1,-1,1,2,1,6,16,1
2,2,3,2,-1,2,2,1,1,14,2
2,2,1,3,-1,4,2,1,2,13,2
1,2,3,1,-1,1,2,3,2,14,1
1,2,4,1,-1,1,2,1,1,14,2
2,2,4,2,2,4,1,1,3,14,1
2,2,3,1,-1,1,2,1,1,13,2
1,2,3,2,-1,1,2,1,2,14,2
2,2,3,1,-1,3,1,1,2,14,1
1,2,3,2,-1,2,2,1,1,14,1
1,2,1,2,-1,1,2,1,1,14,2
1,2,3,1,-1,1,1,4,5,14,1
1,2,3,5,-1,3,2,1,3,14,1
1,2,1,2,-1,1,2,1,2,15,1
2,2,3,3,-1,1,2,1,1,14,2
2,2,3,1,-1,3,2,1,6,14,2
2,2,1,2,-1,2,2,1,2,14,2
2,2,1,3,-1,2,2,1,6,13,1
1,1,3,1,-1,1,2,1,1,14,2
2,2,3,3,-1,1,2,1,1,14,1
2,2,3,1,-1,4,2,2,2,14,1
2,2,1,1,-1,2,2,1,1,14,2
2,2,1,2,-1,3,2,1,1,13,2
2,2,1,2,-1,5,2,1,1,14,2
2,2,1,2,-1,3,2,1,2,14,1
1,2,3,2,-1,5,2,1,1,15,1
2,2,4,3,-1,2,2,1,1,13,2
2,2,3,1,-1,3,2,1,1,13,2
1,2,1,2,-1,2,2,3,6,14,1
1,2,1,2,-1,2,2,1,1,15,2
1,2,3,2,-1,2,2,1,1,14,2
2,2,3,2,-1,1,2,1,1,15,2
2,2,3,2,-1,5,2,1,3,15,2
1,2,3,2,-1,3,2,1,2,15,2
2,2,3,2,2,1,1,3,2,15,1
1,1,2,1,-1,1,1,1,1,16,1
2,2,3,2,-1,3,2,1,1,14,2
2,2,1,2,-1,2,1,1,2,16,1
2,2,3,3,-1,3,2,3,1,15,2
2,2,3,2,-1,2,2,1,2,14,1
1,2,3,5,-1,2,1,4,5,15,1
1,2,3,3,-1,4,2,1,3,14,1
2,2,3,1,-1,3,2,1,2,15,1
2,2,1,1,2,2,1,1,4,15,1
2,2,3,3,-1,3,1,1,6,13,1
2,1,3,3,-1,2,2,1,6,14,2
2,2,3,2,-1,2,2,1,1,14,2
1,2,3,1,-1,1,2,1,3,14,1
2,2,3,2,2,4,1,2,4,16,1
2,2,3,1,-1,1,2,4,3,15,2
1,2,3,2,-1,5,1,3,3,14,1
2,2,3,3,-1,3,2,1,2,14,2
2,2,4,4,-1,5,99,4,1,15,2
2,2,3,2,2,2,1,1,2,13,1
1,2,3,1,-1,2,1,1,3,16,1
1,2,1,2,-1,2,2,1,2,16,2
1,2,5,2,-1,1,1,1,4,16,1
2,2,3,3,-1,3,2,1,3,14,1
2,2,3,2,-1,2,2,3,1,14,2
2,2,3,3,-1,1,1,1,2,15,1
1,2,1,3,-1,2,2,2,1,15,2
2,2,3,4,-1,5,1,1,3,15,1
1,2,2,1,-1,2,2,1,1,14,2
1,2,3,1,-1,3,2,2,1,14,2
1,2,1,2,-1,2,2,1,6,14,2
2,2,3,1,-1,2,2,1,1,14,1
2,2,1,1,-1,1,2,1,1,14,1
1,2,3,1,-1,2,2,1,1,15,2
1,2,2,1,-1,1,2,1,1,14,2
1,2,5,2,-1,1,2,1,4,15,2
1,2,3,1,-1,2,2,1,6,14,1
1,2,1,1,-1,5,2,1,1,15,2
1,2,1,2,-1,1,2,1,6,15,2
1,2,2,1,-1,1,1,1,1,14,1
1,2,3,2,-1,3,2,1,1,14,2
2,2,2,4,-1,1,1,1,3,14,1
1,2,2,1,-1,1,1,1,2,15,1
2,2,3,2,2,5,1,3,2,14,1
2,2,3,3,-1,5,2,3,3,15,1
2,2,3,3,-1,5,1,3,3,14,1
1,2,3,1,-1,2,2,1,6,15,2
1,1,2,3,-1,2,1,2,2,16,1
2,2,5,2,-1,1,2,2,1,14,2
2,1,3,2,-1,2,1,4,3,15,1
1,1,3,4,-1,4,2,1,3,14,1
1,2,3,2,-1,2,2,1,6,14,2
2,2,3,3,2,2,1,2,4,14,1
1,2,5,1,-1,1,2,2,2,15,1
1,2,1,1,-1,1,2,1,1,14,2
1,2,3,5,-1,1,1,3,6,15,2
1,1,3,1,-1,3,1,3,6,14,1
2,2,3,1,-1,3,2,1,3,14,1
1,2,3,1,-1,2,1,1,4,16,1
2,2,3,1,-1,2,2,1,6,14,1
2,2,3,3,-1,2,2,2,3,14,1
1,2,4,3,-1,2,2,1,3,15,1
2,2,3,3,2,3,2,1,3,15,1
2,2,3,3,-1,1,2,1,1,14,2
1,2,1,2,-1,2,2,1,1,16,2
1,2,3,2,-1,3,1,1,3,14,1
2,2,2,1,-1,1,2,1,1,14,2
1,2,1,3,-1,1,2,1,2,14,2
1,2,1,1,-1,1,1,2,4,15,1
2,2,3,2,-1,1,2,1,1,16,2
1,2,3,1,-1,1,2,1,6,14,2
2,2,1,4,-1,5,2,1,2,13,1
1,2,5,2,-1,4,2,1,6,16,2
2,2,3,4,-1,3,2,3,6,16,2
2,2,3,2,-1,4,2,1,1,14,2
2,2,3,3,2,2,2,1,3,14,1
2,2,1,3,-1,2,2,1,1,15,2
2,1,3,2,-1,5,2,4,2,15,1
2,1,3,2,2,2,2,1,3,15,2
2,2,1,2,-1,4,2,1,1,14,1
1,2,4,3,-1,4,2,1,1,14,2
1,2,3,3,-1,4,2,1,2,14,2
1,2,1,2,-1,4,2,3,6,14,2
2,2,1,5,-1,2,2,1,2,14,1
2,2,3,2,-1,5,2,3,6,13,1
1,2,5,2,-1,2,2,5,2,16,2
1,2,3,1,-1,1,1,1,2,14,1
1,2,4,2,-1,2,1,2,3,16,1
1,2,2,3,-1,3,1,3,2,15,1
1,2,3,3,-1,2,1,4,4,16,1
2,2,4,3,-1,4,2,1,2,14,2
2,2,3,3,-1,2,2,1,4,15,2
1,2,3,99,-1,1,2,1,6,14,2
2,2,3,4,-1,1,1,1,1,14,1
1,2,3,1,-1,2,2,1,1,15,1
2,2,3,4,-1,3,2,1,6,15,2
1,2,4,4,-1,3,2,1,2,14,2
1,2,3,1,-1,1,2,1,3,15,2
1,2,3,2,-1,1,2,1,1,15,2
2,2,3,2,-1,3,2,1,2,13,1
1,2,1,2,-1,1,2,2,2,15,1
1,2,4,1,-1,1,2,3,6,14,2
2,2,3,1,-1,1,2,1,2,15,2
1,1,3,2,-1,1,2,1,6,14,1
1,2,3,1,-1,5,1,1,4,14,1
1,2,2,1,-1,1,2,1,2,15,2
1,2,4,1,-1,3,2,1,1,15,2
2,1,4,3,-1,4,2,1,1,15,2
1,2,3,3,-1,1,2,1,3,15,1
2,2,3,3,-1,3,2,1,6,14,1
2,2,3,3,-1,1,2,1,3,14,1
2,2,3,3,-1,5,2,1,1,14,1
1,2,3,5,-1,3,2,1,1,14,2
2,2,3,2,-1,4,2,1,3,14,1
2,2,3,4,-1,1,2,1,1,14,2
1,2,5,1,-1,1,2,1,5,14,1
2,2,3,3,2,3,2,5,1,14,1
1,2,3,1,-1,3,2,1,1,15,2
1,2,3,1,-1,1,1,1,1,14,1
1,2,3,2,-1,1,2,1,2,14,2
2,2,5,4,-1,3,2,3,1,14,2
2,2,3,2,-1,3,1,2,6,15,1
2,2,3,1,-1,1,2,1,1,15,2
2,2,3,2,-1,3,2,1,6,15,2
2,2,3,3,-1,4,2,1,6,14,2
1,2,1,1,-1,1,1,1,4,13,1
2,2,3,2,-1,3,2,1,1,17,2
2,2,3,2,-1,2,2,1,6,15,1
2,2,3,2,-1,3,2,1,3,14,1
2,2,3,1,-1,3,2,1,1,15,1
1,2,1,1,-1,2,2,1,2,15,1
1,2,3,1,-1,2,2,1,3,15,2
1,2,4,1,-1,1,2,1,1,16,2
1,2,3,1,-1,2,2,2,6,14,1
1,2,3,1,-1,1,1,4,3,17,1
2,2,3,1,2,2,2,1,1,15,1
1,2,5,2,-1,3,2,3,1,15,2
2,2,3,1,-1,3,1,1,2,14,1
2,2,3,5,-1,2,2,1,2,14,1
2,2,2,2,-1,3,2,1,1,14,2
2,2,4,1,-1,4,2,1,1,14,2
2,2,1,1,-1,2,2,1,1,15,2
2,2,3,3,-1,5,2,1,6,14,1
2,2,3,4,-1,5,2,1,3,14,1
1,2,1,1,-1,3,2,1,1,13,2
1,2,1,1,-1,1,2,1,1,14,2
2,2,1,2,-1,5,2,1,2,14,2
1,2,3,1,-1,3,2,1,1,14,1
2,2,3,3,-1,5,2,1,1,13,2
2,2,1,3,-1,1,2,3,1,14,2
1,2,1,2,-1,3,2,4,1,13,2
2,2,4,2,-1,1,2,1,1,14,2
1,2,1,1,-1,3,2,1,1,13,2
2,2,3,2,-1,4,2,2,3,14,1
1,2,1,2,-1,1,2,1,1,12,2
2,2,3,3,2,3,1,2,4,18,1
1,2,3,4,-1,2,2,2,1,14,2
2,2,1,3,-1,5,2,1,6,13,2
1,2,3,1,-1,1,2,1,1,14,2
2,2,1,5,-1,3,2,1,6,14,2
2,2,3,2,2,1,2,4,1,15,1
1,2,3,1,-1,1,2,1,1,15,2
1,2,3,1,-1,1,2,1,1,16,1
2,2,1,1,-1,5,2,1,1,14,2
1,2,4,3,-1,3,2,1,1,13,2
2,2,3,1,-1,1,2,1,1,14,2
2,2,3,2,-1,4,2,1,1,14,2
2,2,3,2,2,5,1,3,3,17,1
2,2,3,1,-1,1,2,1,1,15,2
1,2,3,5,-1,5,2,1,2,15,1
1,2,3,1,-1,1,2,3,1,14,2
2,2,3,2,-1,3,2,1,1,14,1
2,2,3,2,-1,3,2,1,1,14,2
1,2,3,1,-1,3,2,1,1,14,1
2,2,3,1,-1,3,2,1,1,17,2
2,2,1,4,-1,5,2,2,6,14,2
2,2,3,2,-1,1,2,1,1,17,2
1,2,3,2,-1,1,2,1,1,14,2
2,2,1,2,-1,2,2,1,6,15,1
1,2,5,2,-1,1,2,1,1,14,1
1,2,5,1,-1,1,2,1,6,14,2
2,2,3,2,-1,3,2,1,2,14,1
1,2,3,1,-1,1,1,2,2,15,1
2,2,2,1,-1,2,2,1,1,14,1
2,2,3,3,2,3,1,3,3,16,1
1,2,5,2,-1,3,1,1,6,15,1
1,1,2,2,-1,1,2,5,1,15,2
1,2,3,2,-1,2,2,1,6,14,2
2,2,3,2,1,3,2,2,3,14,1
2,2,1,2,-1,2,2,1,1,14,1
2,2,1,5,2,2,2,1,2,15,1
1,2,5,5,-1,1,2,1,1,14,2
1,2,3,1,-1,1,2,3,6,14,1
1,2,2,1,-1,1,2,1,1,16,2
2,2,3,3,2,3,2,1,3,15,1
2,2,1,2,-1,2,2,1,1,14,2
1,2,2,2,-1,1,2,1,1,14,2
2,2,3,3,-1,3,2,1,2,14,1
1,2,3,1,-1,1,2,1,3,16,1
2,2,3,1,2,2,2,1,2,15,1
1,2,3,1,-1,1,2,2,1,15,2
2,2,1,2,-1,3,2,1,6,14,2
1,2,3,2,-1,1,2,1,6,14,2
2,2,2,2,-1,3,2,1,1,14,1
2,2,2,2,-1,2,2,1,4,15,1
2,2,3,2,-1,3,2,1,2,14,2
2,2,5,3,-1,3,2,1,1,14,2
2,2,3,1,1,3,2,2,1,14,1
1,2,3,2,-1,2,2,1,1,15,1
2,2,3,2,-1,3,1,3,4,14,1
2,2,3,5,-1,2,2,1,1,14,2
1,2,4,3,-1,2,2,1,6,14,2
1,2,3,4,-1,5,2,1,6,16,1
2,2,3,2,-1,2,2,2,1,14,1
2,2,3,2,2,3,2,2,6,14,1
1,2,1,1,-1,2,2,1,2,15,2
2,2,3,2,-1,3,2,1,6,16,1
2,2,3,1,-1,3,2,1,1,13,2
2,2,3,5,-1,1,2,1,2,14,1
2,2,3,3,-1,2,2,1,6,13,1
1,2,3,1,-1,3,2,1,1,14,1
2,2,1,1,-1,3,2,1,1,16,1
1,2,3,3,-1,2,2,2,6,14,2
1,2,3,1,-1,1,2,1,1,14,2
1,2,3,3,-1,3,2,1,1,14,2
2,2,1,1,-1,1,2,1,1,13,2
2,2,3,3,-1,3,2,1,2,14,1
2,2,3,2,2,2,2,1,6,14,1
2,2,3,2,-1,3,2,1,2,14,1
2,2,2,2,2,5,1,1,3,16,1
1,1,3,3,-1,4,2,2,3,16,1
2,2,3,3,-1,3,2,2,2,14,2
1,2,1,2,-1,1,2,1,1,14,2
2,2,3,1,-1,2,2,1,2,13,2
2,2,3,2,2,5,1,1,4,14,1
2,2,3,2,2,4,2,1,3,14,1
2,2,1,1,-1,3,2,2,4,15,1
2,2,3,3,-1,3,2,1,2,14,2
1,2,5,1,-1,2,2,1,6,16,1
1,2,5,3,-1,3,2,3,6,14,2
1,2,3,2,-1,1,2,1,1,16,2
2,2,3,3,-1,4,2,1,1,14,2
2,2,3,3,-1,2,1,1,2,15,1
1,2,3,1,-1,3,1,1,4,14,1
1,1,3,5,-1,2,2,1,3,16,1
1,2,2,1,-1,3,2,1,1,14,2
2,2,3,2,2,1,1,4,6,14,1
1,2,3,1,-1,3,2,1,4,15,1
2,2,4,2,-1,4,2,3,2,17,1
1,1,2,1,-1,2,2,5,4,16,1
2,2,3,4,2,3,2,1,6,14,1
2,2,1,3,-1,4,2,2,2,14,1
1,2,3,2,-1,1,2,1,1,17,2
2,2,3,2,-1,3,2,2,1,14,1
2,2,3,2,-1,3,1,4,2,17,1
1,2,3,1,-1,1,2,1,1,16,2
2,2,3,3,2,3,2,1,3,14,1
1,2,3,2,-1,1,2,1,6,14,2
2,2,3,3,-1,3,2,1,3,14,1
2,1,3,3,-1,3,2,1,1,16,2
1,2,4,4,-1,1,2,1,2,14,1
2,2,5,1,-1,5,2,1,1,14,1
2,2,3,3,-1,3,2,4,1,14,2
2,2,2,3,-1,2,2,1,6,14,1
1,1,3,1,-1,2,2,1,1,16,1
1,2,3,1,-1,1,2,1,2,15,1
2,2,3,2,-1,3,2,1,2,14,1
1,2,4,5,-1,3,1,1,4,15,1
1,2,3,1,-1,3,2,3,1,15,2
1,2,5,1,-1,1,2,3,1,14,2
2,2,3,4,-1,5,1,4,2,13,1
1,2,3,1,-1,1,2,1,1,16,1
2,2,2,2,-1,4,2,1,1,14,1
2,2,3,3,-1,2,2,1,2,14,2
1,2,1,3,-1,1,2,1,1,14,2
2,2,4,1,-1,1,2,1,1,15,1
1,2,1,1,-1,1,2,1,2,15,2
1,2,2,3,-1,3,1,1,3,15,1
1,2,5,1,-1,2,2,1,1,14,2
1,1,4,1,-1,1,2,1,4,15,1
1,2,4,2,-1,3,2,1,6,15,2
1,2,3,1,-1,1,2,1,6,15,2
1,2,3,3,-1,2,2,3,1,14,2
1,2,1,5,-1,1,2,1,1,14,2
1,2,3,3,-1,3,2,2,1,16,1
1,1,3,2,-1,2,2,1,1,18,1
2,2,3,1,-1,3,2,2,2,14,1
1,1,3,2,-1,3,1,1,6,15,1
1,1,4,3,-1,3,2,1,3,15,1
1,2,3,1,-1,1,2,2,2,15,2
2,1,3,3,2,3,2,1,1,15,1
2,2,1,3,-1,1,2,1,1,14,1
2,2,3,3,-1,5,2,2,1,14,1
1,2,3,1,-1,1,2,1,4,13,1
2,2,2,3,-1,4,2,3,3,16,1
1,2,1,1,-1,1,2,1,1,15,2
2,2,3,2,-1,1,2,1,3,15,2
1,2,4,1,-1,3,2,2,1,13,2
1,2,2,2,-1,1,2,1,2,15,2
2,2,4,1,-1,3,1,3,2,14,1
1,2,3,3,-1,1,2,1,1,13,2
1,2,3,1,-1,1,2,1,3,14,1
2,2,3,2,-1,3,2,1,1,15,2
1,2,4,2,-1,3,2,1,1,14,2
1,2,3,2,-1,1,2,1,2,14,1
2,2,2,2,-1,2,2,2,1,15,1
2,2,3,1,-1,4,2,1,1,14,1
2,2,3,5,2,3,2,1,1,14,1
2,2,3,3,-1,4,2,5,1,15,1
2,2,3,1,-1,1,2,4,1,14,1
1,2,3,1,-1,2,2,2,2,15,1
2,2,1,3,-1,5,2,1,2,15,1
2,2,3,2,-1,2,2,1,1,17,1
2,2,3,2,-1,3,2,3,3,14,1
2,2,3,3,2,3,1,3,6,14,1
1,2,3,1,-1,1,2,1,1,14,1
1,2,3,1,-1,3,2,1,3,14,2
2,2,3,1,-1,2,2,1,6,15,2
1,2,3,1,-1,5,2,1,6,17,1
1,2,1,1,-1,1,1,1,1,14,1
